Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
20,female,1,own,little,little,5879,20,radio/TV,bad
18,female,2,rent,little,little,12528,22,radio/TV,bad
22,male,1,own,,rich,8667,37,domestic appliances,good
43,female,3,own,moderate,moderate,2247,28,repairs,good
72,male,0,own,moderate,little,9213,71,vacation/others,bad
31,male,2,rent,moderate,moderate,16034,14,car,good
56,female,2,own,moderate,little,4774,19,domestic appliances,good
44,male,2,own,moderate,rich,3657,64,car,good
26,male,2,free,moderate,little,6981,10,radio/TV,good
32,male,2,rent,quite rich,little,8045,19,radio/TV,good
32,male,2,own,little,,11582,19,car,bad
43,female,0,own,moderate,little,19427,43,repairs,bad
59,male,0,rent,moderate,little,3161,15,car,good
30,female,3,own,rich,moderate,19049,38,education,good
68,female,2,own,moderate,,16884,24,business,good
49,male,2,own,moderate,little,15444,53,business,good
56,female,1,free,little,little,5201,46,car,good
66,female,0,rent,moderate,little,8348,20,furniture,good
69,female,0,rent,little,moderate,16367,35,business,bad
49,male,2,rent,little,little,8352,44,furniture,good
21,female,1,own,little,moderate,5815,9,radio/TV,good
47,female,1,own,moderate,,1423,30,car,good
54,female,1,own,little,little,8874,23,radio/TV,good
40,male,0,own,little,little,14644,28,domestic appliances,bad
56,female,1,own,rich,little,13506,69,radio/TV,good
62,male,1,rent,little,little,1085,12,radio/TV,good
32,male,2,rent,moderate,rich,18896,56,furniture,good
60,male,1,rent,moderate,little,12074,64,radio/TV,good
46,male,1,own,little,little,4817,41,car,good
53,male,0,rent,quite rich,moderate,4065,6,car,good
30,male,0,rent,little,little,16880,58,furniture,bad
49,female,1,own,moderate,moderate,2679,4,radio/TV,good
24,male,1,rent,moderate,little,9432,48,radio/TV,bad
68,female,2,own,moderate,rich,9368,50,furniture,good
39,female,1,own,moderate,,11880,29,furniture,good
45,male,2,own,little,moderate,2857,17,car,good
19,female,2,own,little,,6180,57,repairs,bad
59,female,2,own,quite rich,little,4272,49,radio/TV,good
62,female,0,rent,moderate,little,12241,34,car,bad
74,female,1,free,rich,moderate,6867,62,car,good
70,male,0,rent,rich,moderate,3401,32,vacation/others,good
23,female,1,rent,rich,little,5830,20,car,good
45,male,3,own,moderate,little,7304,17,business,good
45,female,0,rent,little,little,7869,39,car,bad
61,female,1,own,quite rich,little,16073,61,repairs,good
61,male,2,own,moderate,little,13497,27,domestic appliances,bad
37,female,2,own,little,moderate,4823,66,radio/TV,good
47,female,1,own,rich,little,15589,28,car,good
28,female,0,own,rich,little,3741,62,car,good
72,male,1,own,moderate,moderate,956,35,furniture,good
45,female,1,own,little,moderate,15978,21,radio/TV,good
42,male,0,free,little,rich,7247,40,car,bad
56,female,1,own,rich,moderate,5483,29,car,good
50,male,0,own,,little,6005,12,radio/TV,bad
18,male,0,own,little,rich,17968,67,radio/TV,bad
74,female,1,rent,little,moderate,18481,23,car,bad
44,female,0,own,rich,little,7101,57,car,bad
74,male,1,own,little,moderate,12376,33,vacation/others,bad
69,male,2,own,moderate,,8115,56,radio/TV,good
30,female,2,own,,little,12368,66,business,bad
58,male,1,own,little,little,3567,14,radio/TV,good
20,female,0,own,moderate,little,12462,34,car,bad
56,female,0,own,little,little,11597,52,furniture,bad
23,female,2,own,little,little,10640,22,furniture,bad
25,female,2,own,rich,moderate,15113,15,business,good
44,male,0,rent,moderate,little,16798,18,education,bad
26,female,3,own,,,7310,34,car,good
54,male,0,own,moderate,rich,15754,46,vacation/others,bad
50,female,1,own,little,moderate,3307,40,furniture,good
68,male,2,free,little,rich,4678,32,vacation/others,good
59,female,2,own,little,little,652,29,vacation/others,good
61,male,2,own,little,little,8855,5,car,good
41,male,2,rent,little,moderate,16011,18,furniture,good
32,female,1,own,little,rich,1117,7,radio/TV,good
71,female,2,own,moderate,rich,14029,53,education,good
49,female,0,own,quite rich,little,15405,41,radio/TV,bad
49,female,2,rent,moderate,,8460,26,vacation/others,good
41,male,1,own,quite rich,little,614,62,education,good
58,female,2,rent,little,rich,15616,31,car,good
69,male,1,free,little,,6821,69,car,bad
66,male,2,own,moderate,little,17213,11,education,good
66,female,1,own,moderate,moderate,14267,32,car,good
69,male,2,own,little,little,6718,14,business,good
29,male,0,own,rich,little,4400,21,furniture,good
56,male,0,own,quite rich,moderate,13315,58,furniture,bad
19,male,1,free,moderate,moderate,19673,53,car,good
20,female,0,rent,little,,4387,17,education,bad
66,female,2,rent,quite rich,moderate,12486,12,car,good
54,female,1,own,moderate,little,17086,14,business,good
66,female,3,rent,quite rich,rich,12403,66,radio/TV,good
73,male,1,free,quite rich,,14083,70,business,bad
34,male,0,rent,rich,little,1631,56,radio/TV,good
66,female,2,own,moderate,,8404,42,car,good
19,female,2,rent,little,little,1717,59,business,bad
19,female,1,own,moderate,rich,13689,31,car,good
45,male,1,own,moderate,little,19372,42,radio/TV,bad
71,female,2,own,quite rich,little,17514,28,car,bad
40,female,1,rent,little,little,12256,24,business,good
54,female,3,rent,little,moderate,3399,13,repairs,good
49,male,3,own,rich,little,8142,46,radio/TV,good
50,male,2,own,quite rich,little,16386,18,radio/TV,good
18,male,0,own,,moderate,1418,51,business,bad
36,male,2,own,quite rich,,12606,24,car,good
19,male,0,own,moderate,little,3379,63,repairs,bad
70,male,0,own,moderate,little,15282,53,car,bad
61,male,1,rent,rich,little,2776,26,vacation/others,good
43,male,1,own,moderate,little,11309,16,education,good
49,female,2,own,moderate,rich,3766,7,business,good
23,female,2,own,little,rich,10636,12,education,bad
49,male,2,free,moderate,moderate,3805,38,radio/TV,good
72,male,1,rent,quite rich,little,16262,24,radio/TV,good
21,female,1,rent,little,rich,14407,61,car,bad
72,male,1,own,little,moderate,5361,21,radio/TV,good
28,male,3,own,little,rich,7002,46,radio/TV,good
73,male,0,own,little,moderate,17079,9,domestic appliances,bad
34,female,2,rent,little,rich,6614,70,radio/TV,good
55,female,1,free,moderate,moderate,3876,15,car,good
41,female,1,rent,,little,4125,15,furniture,good
22,female,2,rent,moderate,,5747,69,education,good
69,female,1,rent,little,moderate,16229,5,car,good
51,male,2,own,little,moderate,11779,18,car,good
23,female,3,free,moderate,little,16895,26,business,good
39,male,1,own,little,moderate,13632,32,radio/TV,good
28,male,1,own,rich,moderate,4275,10,radio/TV,good
65,female,1,own,moderate,little,10708,31,furniture,good
33,female,3,own,quite rich,little,14094,17,education,good
50,male,1,own,little,moderate,4425,47,car,good
26,male,2,own,moderate,rich,9424,33,education,good
23,male,2,own,little,moderate,3693,35,car,good
33,female,2,own,,little,10975,9,domestic appliances,bad
46,female,0,own,moderate,moderate,943,30,radio/TV,good
20,female,2,own,little,little,8597,27,furniture,bad
37,female,3,own,little,little,12030,37,radio/TV,bad
53,female,0,own,little,little,18446,43,radio/TV,bad
36,male,1,rent,moderate,little,14091,50,car,good
43,female,3,rent,little,little,14504,27,business,bad
20,male,0,rent,moderate,little,14271,68,car,bad
36,male,2,rent,little,little,13618,21,repairs,bad
37,male,1,own,moderate,little,5974,47,business,good
49,female,1,rent,rich,moderate,1657,60,furniture,good
24,female,2,own,quite rich,little,8282,31,business,good
69,female,1,own,quite rich,little,14822,26,furniture,good
58,male,1,rent,little,rich,18044,37,car,good
50,male,1,own,little,little,7644,14,vacation/others,good
57,male,1,rent,moderate,moderate,17185,38,education,good
56,male,0,rent,little,little,11836,45,radio/TV,bad
35,male,1,rent,moderate,little,13176,31,furniture,good
57,male,3,free,little,moderate,1247,27,furniture,good
18,female,1,own,little,moderate,14640,11,vacation/others,bad
28,female,2,own,little,rich,6349,56,car,good
45,female,1,own,rich,moderate,13759,7,furniture,good
74,female,2,own,little,,5740,8,radio/TV,good
42,male,0,rent,moderate,little,5866,52,radio/TV,good
67,male,3,rent,little,little,16208,33,radio/TV,bad
40,female,1,rent,moderate,little,2498,66,car,good
48,male,1,own,little,little,17482,50,car,bad
47,female,0,own,rich,moderate,10998,29,car,good
59,female,0,own,rich,moderate,10764,60,repairs,bad
52,female,1,own,little,little,8945,40,car,bad
24,male,1,rent,,,8320,10,business,good
33,female,2,own,,rich,9144,43,business,good
43,female,1,own,rich,little,16948,42,business,bad
65,female,1,own,rich,little,15373,65,domestic appliances,bad
74,male,2,rent,little,little,2626,56,car,bad
69,male,2,rent,moderate,little,4628,7,car,good
66,female,0,own,little,little,11432,28,radio/TV,bad
19,male,0,own,little,moderate,824,10,car,bad
18,male,0,own,,little,13580,31,education,bad
65,male,2,own,little,little,9199,70,radio/TV,bad
29,male,2,rent,quite rich,,19444,23,domestic appliances,good
22,male,1,rent,rich,moderate,5920,14,car,good
54,male,2,own,rich,,6817,70,repairs,good
49,male,2,own,,little,12966,10,car,bad
72,male,1,free,little,little,6367,26,radio/TV,bad
26,male,2,own,little,moderate,8087,64,furniture,good
58,male,1,rent,moderate,little,16837,37,business,good
52,female,0,own,little,little,14781,22,furniture,bad
36,female,1,own,little,moderate,19409,61,repairs,good
65,male,0,own,little,moderate,18626,12,repairs,bad
33,female,1,own,quite rich,little,18877,51,domestic appliances,good
20,female,3,free,moderate,little,8748,44,car,good
37,male,0,own,little,little,18321,51,domestic appliances,bad
41,male,0,own,moderate,little,4359,48,business,bad
71,male,1,own,little,little,18494,28,car,bad
73,female,3,own,little,little,17356,28,car,bad
50,female,1,own,quite rich,little,13771,22,car,good
41,male,1,own,moderate,,8970,42,car,good
69,male,0,rent,quite rich,moderate,5143,30,radio/TV,good
28,male,0,own,little,moderate,16977,66,vacation/others,bad
66,female,3,own,rich,little,8650,71,furniture,good
25,female,3,free,moderate,little,14856,22,radio/TV,good
53,female,0,own,moderate,little,10389,31,vacation/others,bad
55,female,3,free,moderate,little,17553,36,car,good
57,male,2,own,rich,little,2294,13,domestic appliances,good
37,male,2,rent,moderate,rich,17052,33,radio/TV,good
52,male,1,rent,moderate,moderate,18383,25,radio/TV,good
65,male,1,rent,,moderate,17733,6,furniture,bad
42,female,1,free,quite rich,little,3642,51,radio/TV,good
52,female,2,own,moderate,,19406,5,car,good
42,male,0,free,quite rich,little,10922,57,business,bad
46,male,0,own,little,little,14694,9,car,bad
35,female,1,own,little,little,7034,43,domestic appliances,bad
63,male,2,own,moderate,rich,18179,5,furniture,good
35,female,1,own,,,1320,5,car,good
19,male,2,own,,little,2100,58,education,bad
71,male,3,own,little,rich,12640,63,car,bad
52,male,0,own,moderate,rich,3189,9,business,good
33,male,2,rent,little,little,10345,22,vacation/others,bad
58,male,1,rent,,little,16551,30,business,good
53,male,2,own,,little,7444,4,car,good
50,male,0,own,moderate,,6101,36,radio/TV,good
21,female,2,own,rich,little,16628,43,education,bad
50,female,2,own,quite rich,rich,928,35,business,good
31,female,3,own,moderate,little,1238,20,car,good
38,female,2,own,little,moderate,1752,11,radio/TV,good
65,female,1,own,moderate,little,18423,60,radio/TV,bad
37,male,2,free,moderate,moderate,16448,45,car,good
73,male,2,own,moderate,rich,18059,12,furniture,good
25,female,1,own,little,rich,16117,38,furniture,bad
24,male,0,own,,rich,14516,56,business,bad
20,female,3,own,little,little,6904,57,repairs,bad
34,female,2,own,moderate,moderate,2690,28,radio/TV,good
50,male,2,rent,moderate,little,10484,70,furniture,good
65,male,1,own,moderate,little,7617,65,car,good
29,male,2,own,moderate,moderate,13740,58,vacation/others,good
68,female,1,free,little,little,2844,49,vacation/others,good
39,male,2,rent,little,moderate,19070,27,repairs,good
72,female,0,rent,moderate,,5767,49,business,bad
39,female,2,own,moderate,little,9469,25,furniture,good
63,female,3,rent,little,moderate,6560,14,business,good
47,male,0,own,quite rich,little,3789,51,furniture,good
55,male,3,own,moderate,little,14994,11,furniture,good
55,female,1,own,moderate,little,18875,42,education,bad
62,male,2,own,rich,,6628,38,car,good
68,male,2,own,little,rich,19399,52,car,bad
71,male,1,own,little,,9615,49,furniture,bad
25,female,2,free,quite rich,,11672,41,furniture,good
44,female,2,free,moderate,little,5161,11,domestic appliances,good
44,male,1,rent,moderate,little,653,57,car,good
51,female,1,own,rich,moderate,13430,40,car,good
38,male,2,rent,rich,little,4413,43,car,good
47,male,2,own,,little,16721,37,car,bad
50,male,2,rent,moderate,little,14586,20,car,good
45,male,2,own,moderate,moderate,5720,36,education,good
64,female,1,rent,moderate,moderate,15203,50,furniture,bad
50,female,2,own,little,little,6526,55,business,bad
22,female,0,rent,moderate,little,5989,12,vacation/others,bad
65,male,1,free,little,moderate,6773,36,education,good
36,male,0,own,,moderate,15243,63,car,bad
21,male,1,own,moderate,little,13123,24,car,good
52,female,1,free,moderate,moderate,13669,61,domestic appliances,good
66,male,1,own,little,little,14707,13,radio/TV,bad
34,female,2,rent,little,little,2314,9,business,good
61,female,1,own,little,rich,5565,16,domestic appliances,good
45,female,1,own,moderate,moderate,10816,68,repairs,good
47,female,1,own,little,little,567,23,repairs,good
46,female,1,own,moderate,moderate,18136,60,radio/TV,good
63,female,1,rent,rich,moderate,6380,49,furniture,good
70,male,0,own,rich,rich,7669,11,vacation/others,good
23,male,2,own,moderate,moderate,2292,13,radio/TV,good
52,female,2,own,little,moderate,4848,70,car,good
58,female,2,own,rich,little,10464,14,radio/TV,good
54,male,1,rent,rich,little,368,15,radio/TV,good
41,female,1,free,little,little,959,13,domestic appliances,good
46,female,2,own,quite rich,little,16107,28,education,good
66,male,1,rent,little,moderate,12851,52,furniture,bad
63,female,1,rent,rich,moderate,3500,52,vacation/others,good
70,female,0,own,,little,8311,14,business,bad
48,female,1,free,little,little,8859,65,radio/TV,bad
52,male,1,own,rich,little,2853,39,car,good
50,male,1,own,moderate,little,12296,42,furniture,good
69,male,1,rent,,moderate,17735,56,education,bad
38,female,1,own,moderate,little,8107,59,car,good
49,female,2,rent,rich,moderate,11870,4,car,good
40,male,2,rent,little,,8427,59,education,good
50,female,2,own,little,little,18895,7,radio/TV,good
20,female,2,rent,little,little,12076,33,furniture,bad
35,female,3,own,,little,14140,15,car,good
42,female,0,own,rich,moderate,17142,38,furniture,bad
59,female,0,rent,rich,moderate,19013,55,business,bad
48,male,0,free,,little,14080,34,car,bad
71,female,2,own,little,moderate,9734,71,car,bad
20,male,2,own,little,rich,5745,55,education,bad
57,female,1,rent,little,little,11517,10,vacation/others,good
63,male,3,rent,little,little,19843,25,radio/TV,bad
41,female,0,rent,little,rich,7648,59,car,bad
67,male,3,own,moderate,moderate,6993,61,furniture,good
49,female,1,own,little,rich,5421,67,domestic appliances,good
64,male,0,own,little,moderate,16255,15,car,bad
39,female,1,rent,little,rich,16958,10,radio/TV,good
40,male,1,own,little,little,13254,58,furniture,bad
19,female,1,own,,moderate,11212,65,car,bad
44,male,1,free,quite rich,,11025,58,business,bad
59,male,2,own,,moderate,3807,39,education,good
19,female,1,free,moderate,little,3837,27,education,good
43,female,1,rent,little,little,16785,47,car,bad
34,male,2,rent,quite rich,little,1204,20,car,good
57,female,2,own,little,little,14044,5,radio/TV,bad
50,male,1,own,little,little,937,16,radio/TV,good
26,male,1,rent,little,moderate,8751,34,car,good
60,male,0,rent,little,moderate,15388,31,car,bad
71,female,0,rent,little,little,9944,63,car,bad
65,male,2,own,little,moderate,3377,30,vacation/others,good
56,male,0,rent,moderate,little,13010,18,business,bad
46,female,1,rent,little,little,11809,36,repairs,bad
59,female,2,rent,little,little,15046,23,car,bad
72,female,0,rent,rich,moderate,3645,45,vacation/others,good
43,female,1,rent,little,little,1095,15,car,good
52,male,1,rent,little,little,1414,26,radio/TV,good
67,male,3,own,rich,little,13204,17,business,good
42,male,1,own,little,rich,6154,28,furniture,good
41,male,2,own,little,little,13981,34,furniture,bad
30,female,1,own,moderate,moderate,604,57,car,good
24,male,0,own,little,moderate,18506,8,car,bad
74,male,2,own,moderate,rich,18658,16,radio/TV,good
53,female,3,own,rich,,3067,31,education,good
62,male,2,own,little,little,4082,46,business,good
37,male,2,rent,moderate,little,12717,50,radio/TV,good
18,male,2,free,moderate,rich,8507,41,radio/TV,good
25,male,1,own,little,little,13357,70,car,bad
63,male,1,free,moderate,moderate,12708,65,car,good
33,male,2,own,little,moderate,10963,42,vacation/others,bad
31,female,1,own,moderate,moderate,2831,40,car,good
29,female,2,own,little,,9832,11,education,good
68,male,3,own,moderate,,19120,55,car,bad
40,male,1,rent,little,moderate,8668,36,education,good
32,female,1,rent,rich,little,19077,45,education,bad
45,male,2,own,little,rich,14669,30,car,good
51,male,1,own,moderate,little,12064,11,car,good
19,male,2,own,moderate,little,1286,26,education,good
49,female,1,own,quite rich,rich,10274,67,furniture,good
40,male,2,own,moderate,little,11182,23,car,good
39,female,0,own,moderate,little,7685,19,education,good
68,male,2,rent,quite rich,little,1798,20,car,good
42,female,1,free,rich,rich,5315,22,domestic appliances,good
39,female,1,own,little,moderate,3657,11,radio/TV,good
39,male,0,free,moderate,moderate,889,41,car,good
66,female,2,own,rich,little,422,41,education,good
69,male,2,own,,rich,5916,56,radio/TV,good
59,female,1,own,rich,rich,4604,34,car,good
23,male,0,rent,little,little,10359,47,furniture,bad
32,male,0,free,little,little,3136,63,car,bad
71,female,2,rent,moderate,little,2414,20,car,good
60,male,2,own,quite rich,,4195,42,car,good
54,male,1,rent,moderate,moderate,10651,45,furniture,good
50,female,1,own,moderate,,7996,51,car,good
25,male,1,rent,rich,little,12225,15,education,good
70,male,1,own,little,rich,19224,21,education,good
61,female,1,own,rich,rich,8004,9,radio/TV,good
61,female,3,own,moderate,moderate,15846,46,business,good
22,male,0,rent,little,,5435,38,business,bad
56,male,2,own,moderate,little,1343,57,radio/TV,good
21,female,1,rent,quite rich,little,4130,65,radio/TV,good
23,female,1,own,little,moderate,10936,19,car,good
62,male,2,rent,little,moderate,11021,11,domestic appliances,bad
49,female,2,rent,,moderate,10930,34,car,good
69,male,3,rent,little,little,3035,13,furniture,good
47,male,0,own,moderate,moderate,15049,59,education,bad
64,male,0,own,moderate,little,16530,23,car,bad
52,male,2,own,moderate,little,6789,8,car,good
72,male,1,rent,moderate,moderate,18208,26,radio/TV,good
57,female,1,own,little,moderate,16266,12,radio/TV,good
69,female,0,own,moderate,little,14980,61,education,bad
33,female,0,own,little,little,10815,62,business,bad
30,female,2,own,moderate,little,8310,57,car,good
67,male,0,rent,little,little,4240,49,car,bad
59,male,1,own,moderate,rich,17823,25,education,good
47,male,1,rent,little,,19323,67,furniture,bad
36,male,1,own,little,little,4345,11,radio/TV,good
34,female,0,own,little,rich,14799,23,car,bad
73,male,1,own,little,rich,18509,54,radio/TV,bad
36,male,0,own,rich,rich,10229,42,radio/TV,bad
45,female,2,own,little,little,5658,40,radio/TV,bad
72,female,1,rent,,,14187,53,radio/TV,bad
43,female,1,own,,little,3083,37,radio/TV,bad
54,female,2,rent,moderate,little,5535,36,furniture,good
43,male,2,own,little,little,9839,34,car,good
70,male,1,own,little,little,14958,57,car,bad
40,female,1,rent,quite rich,little,14366,47,furniture,bad
26,male,1,own,little,little,7895,37,furniture,good
29,male,2,own,little,little,12268,65,radio/TV,bad
70,male,3,own,moderate,rich,11139,26,furniture,good
18,female,2,own,rich,rich,5027,49,education,good
18,male,1,rent,quite rich,little,16244,59,domestic appliances,bad
64,female,2,own,little,rich,2985,10,car,good
51,male,1,rent,moderate,rich,13861,64,car,good
49,male,0,rent,little,rich,6618,6,car,good
71,male,1,own,little,little,17455,41,radio/TV,bad
65,female,3,free,rich,moderate,412,37,furniture,good
42,male,0,own,little,,8027,47,car,bad
57,female,2,free,little,moderate,15099,33,education,good
62,female,1,own,little,little,18566,20,car,bad
70,female,1,rent,rich,moderate,3785,62,radio/TV,good
18,male,0,own,quite rich,moderate,13653,13,radio/TV,bad
33,male,1,own,moderate,moderate,14766,21,education,good
56,male,2,rent,quite rich,little,19424,48,car,good
22,male,1,rent,little,little,19341,62,domestic appliances,bad
39,female,2,own,moderate,rich,8209,65,education,good
46,female,2,own,little,rich,4183,62,car,good
72,female,3,rent,little,little,3635,52,car,bad
20,male,1,rent,moderate,,1172,66,furniture,good
29,female,1,free,,little,10617,35,business,bad
43,male,0,rent,little,moderate,13987,13,business,bad
33,female,3,free,little,rich,814,14,radio/TV,good
68,male,3,rent,little,rich,19892,65,domestic appliances,bad
54,male,1,own,little,,11039,50,car,bad
